1	В	_	_	_	_	_	Translit=V
2	жизни	_	_	_	_	_	Translit=zhizni
3	Левы	_	_	_	_	_	Translit=Lyevy
4	Одоевцева	_	_	_	_	_	Translit=Odoyevtsyeva
5	,	_	_	_	_	_	Translit=,
6	из	_	_	_	_	_	Translit=iz
7	тех	_	_	_	_	_	Translit=tyekh
8	самых	_	_	_	_	_	Translit=samykh
9	Одоевцевых	_	_	_	_	_	Translit=Odoyevtsyevykh
10	,	_	_	_	_	_	Translit=,
11	не	_	_	_	_	_	Translit=nye
12	случалось	_	_	_	_	_	Translit=sluchalos'
13	особых	_	_	_	_	_	Translit=osobykh
14	потрясений	_	_	_	_	_	Translit=potryasyeniy
15	-	_	_	_	_	_	Translit=-
16	она	_	_	_	_	_	Translit=ona
17	в	_	_	_	_	_	Translit=v
18	основном	_	_	_	_	_	Translit=osnovnom
19	протекала	_	_	_	_	_	Translit=protyekala
20	.	_	_	_	_	_	Translit=.
1	Образно	_	_	_	_	_	Translit=Obrazno
2	говоря	_	_	_	_	_	Translit=govorya
3	,	_	_	_	_	_	Translit=,
4	нить	_	_	_	_	_	Translit=nit'
5	его	_	_	_	_	_	Translit=yego
6	жизни	_	_	_	_	_	Translit=zhizni
7	мерно	_	_	_	_	_	Translit=myerno
8	струилась	_	_	_	_	_	Translit=struilas'
9	из	_	_	_	_	_	Translit=iz
10	чьих-то	_	_	_	_	_	Translit=ch'ikh-to
11	божественных	_	_	_	_	_	Translit=bozhyestvyennykh
12	рук	_	_	_	_	_	Translit=ruk
13	,	_	_	_	_	_	Translit=,
14	скользила	_	_	_	_	_	Translit=skol'zila
15	меж	_	_	_	_	_	Translit=myezh
16	пальцев	_	_	_	_	_	Translit=pal'tsyev
17	.	_	_	_	_	_	Translit=.
1	Без	_	_	_	_	_	Translit=Byez
2	излишней	_	_	_	_	_	Translit=izlishnyey
3	стремительности	_	_	_	_	_	Translit=stryemityel'nosti
4	,	_	_	_	_	_	Translit=,
5	без	_	_	_	_	_	Translit=byez
6	обрывов	_	_	_	_	_	Translit=obryvov
7	и	_	_	_	_	_	Translit=i
8	узлов	_	_	_	_	_	Translit=uzlov
9	,	_	_	_	_	_	Translit=,
10	она	_	_	_	_	_	Translit=ona
11	,	_	_	_	_	_	Translit=,
12	эта	_	_	_	_	_	Translit=eta
13	нить	_	_	_	_	_	Translit=nit'
14	,	_	_	_	_	_	Translit=,
15	находилась	_	_	_	_	_	Translit=nakhodilas'
16	в	_	_	_	_	_	Translit=v
17	ровном	_	_	_	_	_	Translit=rovnom
18	и	_	_	_	_	_	Translit=i
19	несильном	_	_	_	_	_	Translit=nyesil'nom
20	натяжении	_	_	_	_	_	Translit=natyazhyenii
21	и	_	_	_	_	_	Translit=i
22	лишь	_	_	_	_	_	Translit=lish'
23	временами	_	_	_	_	_	Translit=vryemyenami
24	немного	_	_	_	_	_	Translit=nyemnogo
25	провисала	_	_	_	_	_	Translit=provisala
26	.	_	_	_	_	_	Translit=.
1	Собственно	_	_	_	_	_	Translit=Sobstvyenno
2	,	_	_	_	_	_	Translit=,
3	и	_	_	_	_	_	Translit=i
4	принадлежность	_	_	_	_	_	Translit=prinadlyezhnost'
5	его	_	_	_	_	_	Translit=yego
6	к	_	_	_	_	_	Translit=k
7	старому	_	_	_	_	_	Translit=staromu
8	и	_	_	_	_	_	Translit=i
9	славному	_	_	_	_	_	Translit=slavnomu
10	русскому	_	_	_	_	_	Translit=russkomu
11	роду	_	_	_	_	_	Translit=rodu
12	не	_	_	_	_	_	Translit=nye
13	слишком	_	_	_	_	_	Translit=slishkom
14	существенна	_	_	_	_	_	Translit=sushchyestvyenna
15	.	_	_	_	_	_	Translit=.
1	Если	_	_	_	_	_	Translit=Yesli
2	его	_	_	_	_	_	Translit=yego
3	родителям	_	_	_	_	_	Translit=rodityelyam
4	еще	_	_	_	_	_	Translit=yeshchye
5	приходилось	_	_	_	_	_	Translit=prikhodilos'
6	вспоминать	_	_	_	_	_	Translit=vspominat'
7	и	_	_	_	_	_	Translit=i
8	определять	_	_	_	_	_	Translit=opryedyelyat'
9	отношение	_	_	_	_	_	Translit=otnoshyeniye
10	к	_	_	_	_	_	Translit=k
11	своей	_	_	_	_	_	Translit=svoyey
12	фамилии	_	_	_	_	_	Translit=familii
13	,	_	_	_	_	_	Translit=,
14	то	_	_	_	_	_	Translit=to
15	это	_	_	_	_	_	Translit=eto
16	было	_	_	_	_	_	Translit=bylo
17	в	_	_	_	_	_	Translit=v
18	давние	_	_	_	_	_	Translit=davniye
19	годы	_	_	_	_	_	Translit=gody
20	,	_	_	_	_	_	Translit=,
21	когда	_	_	_	_	_	Translit=kogda
22	Левы	_	_	_	_	_	Translit=Lyevy
23	еще	_	_	_	_	_	Translit=yeshchye
24	не	_	_	_	_	_	Translit=nye
25	было	_	_	_	_	_	Translit=bylo
26	или	_	_	_	_	_	Translit=ili
27	он	_	_	_	_	_	Translit=on
28	был	_	_	_	_	_	Translit=byl
29	во	_	_	_	_	_	Translit=vo
30	чреве	_	_	_	_	_	Translit=chryevye
31	.	_	_	_	_	_	Translit=.
1	А	_	_	_	_	_	Translit=A
2	у	_	_	_	_	_	Translit=u
3	самого	_	_	_	_	_	Translit=samogo
4	Левы	_	_	_	_	_	Translit=Lyevy
5	,	_	_	_	_	_	Translit=,
6	с	_	_	_	_	_	Translit=s
7	тех	_	_	_	_	_	Translit=tyekh
